Id,Label
Ephock69,Ephock69
R_Perkasa,R_Perkasa
krrrik_,krrrik_
anonjawa,anonjawa
anak_legal,anak_legal
radixwill,radixwill
iHoxNtZbI34AtI8,iHoxNtZbI34AtI8
obig_lucifer,obig_lucifer
forkathr1na,forkathr1na
juan_adryan82,juan_adryan82
celinblink,celinblink
afnanboma10,afnanboma10
irasurya,irasurya
banyakinbobanya,banyakinbobanya
ainunzahras,ainunzahras
yooggooy_,yooggooy_
xhuranus,xhuranus
serakyut,serakyut
sketsindonews,sketsindonews
man07_ip36818,man07_ip36818
IDNTimesJateng,IDNTimesJateng
Hasby21834910,Hasby21834910
ken_fullmetal,ken_fullmetal
kulabudi,kulabudi
yuniperes,yuniperes
SuicideSquad76,SuicideSquad76
jurnalpostcom,jurnalpostcom
memefess,memefess
dheola,dheola
KPK_RI,KPK_RI
VikaLestar11,VikaLestar11
jurnaljatimcom,jurnaljatimcom
topazday,topazday
hariankompas,hariankompas
yahya_ar2017,yahya_ar2017
bintangemon,bintangemon
GrindingBasara,GrindingBasara
PersibTea1933,PersibTea1933
Andrejivisi,Andrejivisi
hudafatc,hudafatc
meutya_hafid,meutya_hafid
BongkahI,BongkahI
ekeckeck,ekeckeck
cutestcherrie,cutestcherrie
Zaenal58788427,Zaenal58788427
ablubukblubuk,ablubukblubuk
yanniyeoja,yanniyeoja
okezonenews,okezonenews
remmy_purba2,remmy_purba2
NarasiNewsroom,NarasiNewsroom
na_DiemMakarim,na_DiemMakarim
KompasTV,KompasTV
mohmahfudmd,mohmahfudmd
yourbae,yourbae
jurnal9dottv,jurnal9dottv
BEMFISIPUNSIL,BEMFISIPUNSIL
rastafaris,rastafaris
Coklatkejuenk,Coklatkejuenk
adindaardhiasa4,adindaardhiasa4
mymo0d,mymo0d
milkachew,milkachew
aldyxcvii,aldyxcvii
Beritabaruco,Beritabaruco
andini8489,andini8489
TerapiDMinor,TerapiDMinor
frasaccordi,frasaccordi
buttercupdonut,buttercupdonut
Dokter_News,Dokter_News
mqfmbandung,mqfmbandung
peter_hari,peter_hari
Tampandanbrni,Tampandanbrni
wiuindonesia,wiuindonesia
Naufalakbary,Naufalakbary
dimassuryo,dimassuryo
0x_pastaMan,0x_pastaMan
saluransebelas,saluransebelas
_IhzaFirdaus,_IhzaFirdaus
Uptoyedamie07,Uptoyedamie07
heloo_ko,heloo_ko
rioagussetiawan,rioagussetiawan
fajaronline,fajaronline
ilatireng,ilatireng
ridho_alhamdi,ridho_alhamdi
KOPKENTOT,KOPKENTOT
Abanmj1,Abanmj1
sssalmon69,sssalmon69
patragumala,patragumala
fdmncfdmnc,fdmncfdmnc
DKIJakarta,DKIJakarta
pdiihperjuangan,pdiihperjuangan
petanisaja,petanisaja
fatherbuysmilk,fatherbuysmilk
PetugasRakyatRI,PetugasRakyatRI
sukabumikuweb,sukabumikuweb
hadafir,hadafir
karangkurang,karangkurang
masaryaduta,masaryaduta
infocianjur,infocianjur
letmesleepmate,letmesleepmate
lsj_lawugm,lsj_lawugm
onunblocked,onunblocked
daehypeelS_,daehypeelS_
danurumbara,danurumbara
zarryhendrik,zarryhendrik
mglbr,mglbr
guccois,guccois
samasurrr,samasurrr
golkar_id,golkar_id
WidasSatyo,WidasSatyo
FebriTriHarmoko,FebriTriHarmoko
Jayabay19479190,Jayabay19479190
yeonkkoch25,yeonkkoch25
NasiAking234,NasiAking234
abcdeCeritaAja,abcdeCeritaAja
imrenagi,imrenagi
ainascnrrmt,ainascnrrmt
sopasia,sopasia
bintanggraditya,bintanggraditya
gandjar_bondan,gandjar_bondan
sokoguruid,sokoguruid
pandji,pandji
SIGMATVUNJ,SIGMATVUNJ
scarfacev5778,scarfacev5778
theMiniNino,theMiniNino
erickest,erickest
kurnialexander,kurnialexander
mushybouquet,mushybouquet
jinawi_kuswoyo,jinawi_kuswoyo
manticore_,manticore_
ridhoharley,ridhoharley
directioncee,directioncee
MediaJatim,MediaJatim
bukan4non,bukan4non
sirulhaq,sirulhaq
SoundOfYogi,SoundOfYogi
acehkini,acehkini
2komaini_ahmad4,2komaini_ahmad4
jigipaw,jigipaw
vevelynnnn,vevelynnnn
TapaNgumbara,TapaNgumbara
jigseok,jigseok
skmamanat,skmamanat
Heraloebss,Heraloebss
pra47880678,pra47880678
panditfootball,panditfootball
BERAXnews,BERAXnews
PngAdilnR4kyt,PngAdilnR4kyt
YudaFor,YudaFor
Rebornian48,Rebornian48
keoszh,keoszh
tsetiady,tsetiady
fokusjabar,fokusjabar
leviandc,leviandc
GoWest,GoWest
raytyyseven,raytyyseven
ninik_setiawan,ninik_setiawan
Ridwannurm,Ridwannurm
boomipasundan,boomipasundan
Blenk_99,Blenk_99
Binsuscom,Binsuscom
hagogah,hagogah
RayaLegawa,RayaLegawa
wh0tvr,wh0tvr
berdoasblmtidur,berdoasblmtidur
ricizzz,ricizzz
t0the3nd_,t0the3nd_
txtfromezi,txtfromezi
KemenBUMN,KemenBUMN
pixelutep,pixelutep
musuhphp,musuhphp
Malinichitraayu,Malinichitraayu
AliasRapopo,AliasRapopo
YLBHI,YLBHI
KPI,KPI
Gespentser,Gespentser
rmol_id,rmol_id
kageuama,kageuama
IDNTimesBanten,IDNTimesBanten
RK_Lamongan,RK_Lamongan
mymykidults,mymykidults
arcadiaxfade,arcadiaxfade
acendanna,acendanna
inouciance,inouciance
Barri_2410,Barri_2410
_banghardi,_banghardi
Chaste_2,Chaste_2
rivouchhh,rivouchhh
mintoadhi1210,mintoadhi1210
imamprw,imamprw
akmalmaulanaa10,akmalmaulanaa10
are_inismyname,are_inismyname
WaspadaOnline,WaspadaOnline
aidil_rizal2,aidil_rizal2
bana_cotta,bana_cotta
AlpaZuluFoxtrot,AlpaZuluFoxtrot
m_radarnew,m_radarnew
JamesFayezz,JamesFayezz
BEM_FHUI,BEM_FHUI
sudjiwotedjo,sudjiwotedjo
KabarNgetren,KabarNgetren
hecanlvv,hecanlvv
Gundaaaamn,Gundaaaamn
biohazzardouz,biohazzardouz
mardiasih,mardiasih
Listy9021,Listy9021
Sechan112,Sechan112
_marvvk,_marvvk
akaashikasihku,akaashikasihku
zer0failed,zer0failed
JetVeetlev,JetVeetlev
Golkar_News,Golkar_News
SketsaUnmul,SketsaUnmul
ezash,ezash
idbaruid,idbaruid
necesitomanzana,necesitomanzana
cnjjl,cnjjl
JonKoplomukidi,JonKoplomukidi
lluvianeiva,lluvianeiva
lialoves_lia,lialoves_lia
Perkantas,Perkantas
syifauziyahh,syifauziyahh
srpablo,srpablo
soloposdotcom,soloposdotcom
ynadty,ynadty
medanmycity,medanmycity
LPMTEROPONGUMSU,LPMTEROPONGUMSU
bungfarid,bungfarid
imamaguung_,imamaguung_
avcrst,avcrst
GenuineHeart11,GenuineHeart11
salmaptrsyifa,salmaptrsyifa
Davinhaseum,Davinhaseum
mus_theib,mus_theib
AuisGrand,AuisGrand
satrio_alif,satrio_alif
sked311,sked311
MiRV19Kft,MiRV19Kft
pendekarsilat11,pendekarsilat11
joeyakarta,joeyakarta
Ardi45055074,Ardi45055074
CemeNiXapriL,CemeNiXapriL
nezarpatria,nezarpatria
anamazingbali,anamazingbali
blank0429,blank0429
BegayePontianak,BegayePontianak
und_cuckoosnest,und_cuckoosnest
sukamaung,sukamaung
Cah_bedor,Cah_bedor
ReinHeartAster,ReinHeartAster
harapanrakyat_,harapanrakyat_
AndiePeci,AndiePeci
__AnakKolong,__AnakKolong
matilusa,matilusa
murayyan_,murayyan_
miyuwmiyaw,miyuwmiyaw
infoXwor_,infoXwor_
kabarterkini,kabarterkini
KomnasPerempuan,KomnasPerempuan
bisnisbandung63,bisnisbandung63
rizzqi_naufal,rizzqi_naufal
prabowo,prabowo
cbsnewsroom,cbsnewsroom
timpenguinnas,timpenguinnas
Urpin168,Urpin168
Widino,Widino
RilMeniir,RilMeniir
BocorAlusPol,BocorAlusPol
bukaninierma,bukaninierma
falling_fleur,falling_fleur
indonesiana,indonesiana
makuta_budiyto,makuta_budiyto
_bima_LD,_bima_LD
NurKhol81980737,NurKhol81980737
giriramdan,giriramdan
73eb553d74864d6,73eb553d74864d6
bhagya_loka,bhagya_loka
zldrsliana,zldrsliana
cukupsatukata_,cukupsatukata_
miyaminkomplit,miyaminkomplit
KenDjoko,KenDjoko
jnsnsinagaa,jnsnsinagaa
chuuuuwyy,chuuuuwyy
Defrian38829563,Defrian38829563
igansep,igansep
snowflxxe,snowflxxe
raffimulyaa,raffimulyaa
PaulusWijaya007,PaulusWijaya007
backburnzer,backburnzer
zenonthis,zenonthis
lidra_eve,lidra_eve
nizar_nero27,nizar_nero27
zn_riv,zn_riv
yeayeays,yeayeays
fathoniashari,fathoniashari
farizrizyy,farizrizyy
queen_pudjiast,queen_pudjiast
tacungkil,tacungkil
rendi078,rendi078
orbsshine,orbsshine
bungbess,bungbess
temendustin,temendustin
vngnc,vngnc
enumailish,enumailish
y0urtalkle,y0urtalkle
anginlewat,anginlewat
plumbinq,plumbinq
krisna_bakti52,krisna_bakti52
bekesahdotco_,bekesahdotco_
nolinguistik,nolinguistik
Babatmentai,Babatmentai
StrayKids_LK,StrayKids_LK
riszkatsu,riszkatsu
covunter,covunter
rilpolitikcom,rilpolitikcom
jaka_mah7,jaka_mah7
orangdua_,orangdua_
trakteerID,trakteerID
antarakalbar,antarakalbar
haripuspita,haripuspita
brfelindra,brfelindra
krishnayana95,krishnayana95
aksarana,aksarana
umjcampus,umjcampus
ChunZTR,ChunZTR
ferrykoto,ferrykoto
faturrizqyam,faturrizqyam
barvitone,barvitone
irfanizhang,irfanizhang
LodhongA,LodhongA
tatisamhadi,tatisamhadi
itsquaileggs,itsquaileggs
DitjenPajakRI,DitjenPajakRI
Bud_Cavalera,Bud_Cavalera
P3gEl,P3gEl
DPR_RI,DPR_RI
Aqil_Zulfa,Aqil_Zulfa
dandheedge,dandheedge
Kontras_id_2020,Kontras_id_2020
aisyhnbilla,aisyhnbilla
YNaisunis,YNaisunis
prima_jailani,prima_jailani
Pucchi_JKT48,Pucchi_JKT48
mynameishendry,mynameishendry
Insertlivettv,Insertlivettv
singingvampir,singingvampir
absvalueofx,absvalueofx
Asep_Shelby,Asep_Shelby
jotosihotang,jotosihotang
tipeneee,tipeneee
shadowmonarch39,shadowmonarch39
iNewsbatamid,iNewsbatamid
poetratron,poetratron
CNNIndonesia,CNNIndonesia
Nafiszabdl27,Nafiszabdl27
rezaimamri,rezaimamri
MataTelinga,MataTelinga
officialMKRI,officialMKRI
yaniarsim,yaniarsim
kaikaydan1,kaikaydan1
hari_krist12,hari_krist12
leislocker,leislocker
kerikilll_,kerikilll_
parboaboa,parboaboa
ARSIPAJA,ARSIPAJA
KlikindonesiaC,KlikindonesiaC
maspaannn,maspaannn
radeakarna,radeakarna
Jalu_Kancana,Jalu_Kancana
radarmadiunweb,radarmadiunweb
maulin_n,maulin_n
melplerr,melplerr
KontraS,KontraS
azp__,azp__
robby_rodiyya,robby_rodiyya
SRamadhanty03,SRamadhanty03
HabisNontonFilm,HabisNontonFilm
TV9NUsantara,TV9NUsantara
nirmedia_,nirmedia_
Hatamian11,Hatamian11
itputrichr,itputrichr
milzamrcom,milzamrcom
AJIIndonesia,AJIIndonesia
Miduk17,Miduk17
SuaraGON9,SuaraGON9
artistsbase,artistsbase
ConeFozz,ConeFozz
purnamadesira,purnamadesira
baleomol_com,baleomol_com
unilubis,unilubis
norishito09,norishito09
nadiakputri,nadiakputri
askchangellyAML,askchangellyAML
axmiraclee,axmiraclee
belumtentusoleh,belumtentusoleh
gpsignature21,gpsignature21
pantaucom_,pantaucom_
jorgianaaa,jorgianaaa
aniesbubble,aniesbubble
RaulinKenta,RaulinKenta
sebenarnyaintel,sebenarnyaintel
EBCmedia_,EBCmedia_
suarasikap,suarasikap
sosmedkeras,sosmedkeras
retizen_id,retizen_id
pengacarahandal,pengacarahandal
cahyatrngrh,cahyatrngrh
txtjiminn,txtjiminn
billyjoelbob78,billyjoelbob78
feyshalabz,feyshalabz
TirtoID,TirtoID
AhmadRoyhan33,AhmadRoyhan33
dickymmaulana,dickymmaulana
ohapfut,ohapfut
arsenalskitchen,arsenalskitchen
basebuku,basebuku
FARHAN2Humanity,FARHAN2Humanity
syakroni_sh,syakroni_sh
akrmidori,akrmidori
deathostar,deathostar
nasrudinmar,nasrudinmar
beritasatu,beritasatu
La_Manggilaa,La_Manggilaa
xpuffers,xpuffers
Zul691112,Zul691112
Praencious,Praencious
Leonarddnyasatu,Leonarddnyasatu
Dasyasmina,Dasyasmina
slipirooted,slipirooted
tubirfess,tubirfess
ameliapprmatasz,ameliapprmatasz
gegeakutampol_,gegeakutampol_
officialinews_,officialinews_
_haye_,_haye_
faamufid,faamufid
portalbontang_,portalbontang_
romyfanboy,romyfanboy
AgusHartana6,AgusHartana6
Angka1215,Angka1215
PPMN_official,PPMN_official
jea_n__,jea_n__
catholibc,catholibc
medcom_id,medcom_id
realfedinuril,realfedinuril
naufaalirfaan,naufaalirfaan
rinavvrites,rinavvrites
terkinidotid,terkinidotid
jurnalperempuan,jurnalperempuan
onlyy0on,onlyy0on
rahmaniarbaftim,rahmaniarbaftim
thenextbatutah,thenextbatutah
hmja_pnj,hmja_pnj
DedynurPalakka,DedynurPalakka
chsappeal,chsappeal
txtdrmskl5,txtdrmskl5
waduhmaksimal,waduhmaksimal
queerlinci,queerlinci
Icanhearryou,Icanhearryou
bloodpr38214983,bloodpr38214983
tribunmedan,tribunmedan
Kuro_chi_,Kuro_chi_
meeyeaw,meeyeaw
nasi_padangenak,nasi_padangenak
cicibercerita,cicibercerita
bullyangbee,bullyangbee
jootiekan,jootiekan
Mythicalforest,Mythicalforest
Prasety253,Prasety253
ciumjingyuan,ciumjingyuan
rienewsdotcom,rienewsdotcom
Bazingarock,Bazingarock
aqfiazfan,aqfiazfan
gemaposID,gemaposID
InilahMojokerto,InilahMojokerto
vilcinsky,vilcinsky
mappirewa,mappirewa
pers_birama,pers_birama
jukisan90,jukisan90
txtdrstrangers,txtdrstrangers
eunikero,eunikero
Supernewscoid,Supernewscoid
vaneloody,vaneloody
bangluhut,bangluhut
YanHarahap,YanHarahap
EndraSept,EndraSept
BloombergTZ,BloombergTZ
_naufalmajid,_naufalmajid
FidaSijoriKepri,FidaSijoriKepri
dapengg_,dapengg_
persmercusuar,persmercusuar
northerncsl,northerncsl
sosrsaparila,sosrsaparila
hurtherback,hurtherback
yangmi3prnew,yangmi3prnew
slytherlisa,slytherlisa
itsScopoo,itsScopoo
fuyukidera78,fuyukidera78
aslamcemplonnn,aslamcemplonnn
hegiadhi,hegiadhi
Diseminasi_Info,Diseminasi_Info
PersKognisia,PersKognisia
pejabrut,pejabrut
FadliRdttt,FadliRdttt
Wererio,Wererio
Marhaenpress,Marhaenpress
dinda876789,dinda876789
kenxexey,kenxexey
MisterBenComedy,MisterBenComedy
kentomiyauraaa,kentomiyauraaa
keonwo,keonwo
sossisagaya,sossisagaya
kimawritelism,kimawritelism
twentynarcissus,twentynarcissus
mediaindonesia,mediaindonesia
txtdrjkt,txtdrjkt
sucrethyun,sucrethyun
kaumEAmann,kaumEAmann
RedandW96922244,RedandW96922244
prfromaga,prfromaga
bima_ynwa_92,bima_ynwa_92
Arthaspaceweb,Arthaspaceweb
keuangannews_id,keuangannews_id
liputan6dotcom,liputan6dotcom
adxtsn,adxtsn
alineadotid,alineadotid
AntitesiZt,AntitesiZt
haecchiembul,haecchiembul
cranki_franci,cranki_franci
untungsijorike1,untungsijorike1
klinikhukum,klinikhukum
AJI_JAKARTA,AJI_JAKARTA
SangraKarisma,SangraKarisma
angelchrstaai,angelchrstaai
helmisatria_,helmisatria_
AkuratNewsID,AkuratNewsID
GATRA_com,GATRA_com
toiletdifabel,toiletdifabel
staryjune,staryjune
posaktualcom,posaktualcom
Fuzui_jamrd,Fuzui_jamrd
Imade_kun,Imade_kun
childofmoment,childofmoment
heynads_,heynads_
infojambidotcom,infojambidotcom
mas_veel,mas_veel
folkshittmedia,folkshittmedia
MirnaSari0,MirnaSari0
anarchteezs,anarchteezs
pinnaple24,pinnaple24
zy_zy_its_me,zy_zy_its_me
auzaanf,auzaanf
AlfatihahAnanda,AlfatihahAnanda
sechan948,sechan948
LBH_Bali,LBH_Bali
myourbaee,myourbaee
jjkonlyy,jjkonlyy
ayobacanews,ayobacanews
feedemady,feedemady
barengwarga,barengwarga
helllona,helllona
zakiandikaa,zakiandikaa
soekhuna,soekhuna
anggarariann,anggarariann
PBHI_Nasional,PBHI_Nasional
fallingmonstar,fallingmonstar
nden,nden
Yafi_Nur04,Yafi_Nur04
